"Demarcation Code","YEARPERIOD","AGE_CDE","G1     AMOUNT","L1     AMOUNT","L120   AMOUNT","L150   AMOUNT","L180   AMOUNT","L30    AMOUNT","L60    AMOUNT","L90    AMOUNT","TOT    AMOUNT"
"BUF","2013AUDA","0800",,,,,,109148,,,109148
"BUF","2013AUDA","0900",,,,,,132671693,,,132671693
"BUF","2013AUDA","1000",,,,,,404009112,,,404009112
"BUF","2013PAUD","0100",,,,,,65656286,,,65656286
"BUF","2013PAUD","0200",,,,,,10601718,,,10601718
"BUF","2013PAUD","0300",,,,,,8912032,,,8912032
"BUF","2015AUDA","0600",,,,,,26936803,,,26936803
"BUF","2015AUDA","0700",,,,,,224498641,8312383,,232811024
"BUF","2015AUDA","0800",,,,,,600913,,,600913
"BUF","2015AUDA","0900",,,,,,90743331,,,90743331
"BUF","2015AUDA","1000",,,,,,526866707,8312383,,535179090
"BUF","2015M01","0100",,,,,,148622957,,,148622957
"BUF","2015M01","0200",,,,,,15834623,,,15834623
"BUF","2015M01","0300",,,,,,12106869,,,12106869
"BUF","2015M01","0400",,,,,,,,,
"BUF","2015M01","0500",,,,,,15052963,,,15052963
"BUF","2015M02","0900",,,,,,465080706,,,465080706
"BUF","2015M02","1000",,,,,,976599827,,,976599827
"BUF","2015M03","0100",,,,,,87567874,,,87567874
"BUF","2015M03","0200",,,,,,17394777,,,17394777
"MAN","2014AUDA","0900",,56485894,3482887,8072510,6272510,136261181,60659842,24288115,295522939
"MAN","2014AUDA","1000",,56485894,3482887,8072510,6272510,583515578,62893317,25035857,745758553
