"Demarcation Code","YEARPERIOD","CUSTOMER_GRP","AGE_CDE","BAD    AMOUNT","BADI   AMOUNT","G1     AMOUNT","L1     AMOUNT","L120   AMOUNT","L150   AMOUNT","L180   AMOUNT","L30    AMOUNT","L60    AMOUNT","L90    AMOUNT","TOT    AMOUNT"
"BUF","2013AUDA","","1100",,,,,,,,,,,
"BUF","2013AUDA","","1200",,,128170335,40919369,12358324,10586187,8065920,45569128,15485030,11522850,272677143
"BUF","2013AUDA","","1300",,,21729208,8642182,2713203,2026729,2050840,129634898,9131346,3993865,179922271
"BUF","2013PAUD","","1200",,,128170335,40919369,12358324,10586187,8065920,45569128,15485030,11522850,272677143
"BUF","2013PAUD","","1300",,,21729208,8642182,2713203,2026729,2050840,129634898,9131346,3993865,179922271
"BUF","2015AUDA","","2300",,,63055099,44547924,9214042,8364142,8384035,175311915,16827326,11649165,337353648
"BUF","2015AUDA","","2400",,,471750847,117781502,22841967,21076808,18134143,115511890,46601664,30075636,843774457
"BUF","2015AUDA","","2500",,,115231246,25280547,3751361,3604879,3392196,16422229,4940609,4045128,176668195
"BUF","2015AUDA","","2600",,,652018404,188873421,37353073,33103666,29951713,323467274,69936682,46181635,1380885868
"BUF","2015M01","","1100",,,,,,,,,,,
"BUF","2015M01","","1200",,,146188075,58290175,12747358,10964845,11445284,30924746,19244679,11007947,300813109
"BUF","2015M01","","1300",,,21291958,9394426,1799541,1273439,1129047,76599255,6764984,3715227,121967877
"CPT","2014AUDA","","2200",,,31697265,6125088,6481942,3167974,3548707,47473549,-4678172,10900992,104717345
"CPT","2014AUDA","","2300",,,334744037,122632879,33169916,27744078,24595044,654976309,55424876,37312210,1290599349
