"Demarcation Code","YEARPERIOD","GRANTTYPE","ACT_OR_BUD"
"BUF","2015ADJB","0001",
"BUF","2015ADJB","0002",151000
"BUF","2015ADJB","0003",
"BUF","2015ADJB","0004",36375000
"BUF","2015ADJB","0005",
"BUF","2015ADJB","0006",3638000
"BUF","2015ADJB","0007",
"BUF","2015ADJB","0008",
"BUF","2015ADJB","0009",
"BUF","2015ADJB","ACNG",
"BUF","2015ADJB","AHCG",
"BUF","2015ADJB","BE7G",
"BUF","2015ADJB","BESG",
"BUF","2015ADJB","BWSG",
"BUF","2015ADJB","DRCG",
"BUF","2015ADJB","DRG",
"BUF","2015ADJB","ED7G",
"BUF","2015ADJB","EEDG",
"BUF","2015ADJB","FMG",1500000
"BUF","2015ADJB","ICDG",
"BUF","2015ADJB","IN7G",7003000
"BUF","2015ADJB","INEG",20587000
"BUF","2015ADJB","ISDG",5500000
"BUF","2015ADJB","MDRG",
"BUF","2015ADJB","MDTG",
"BUF","2015ADJB","MHSG",
"BUF","2015ADJB","MIG",
"BUF","2015ADJB","MSIG",
"BUF","2015ADJB","MW7G",
"BUF","2015ADJB","MWIG",
"BUF","2015ADJB","ND7G",2863000
"BUF","2015ADJB","NDPG",5000000
"BUF","2015ADJB","PTCG",
"BUF","2015ADJB","PTIG",
"BUF","2015ADJB","PTNG",
"BUF","2015ADJB","PWPG",1890000
"BUF","2015ADJB","RB7G",8000000
"BUF","2015ADJB","RG",
"BUF","2015ADJB","RH7G",
"BUF","2015ADJB","RHIG",
"BUF","2015ADJB","RTSG",
"BUF","2015ADJB","USDG",673289000
"BUF","2015ADJB","WCHG",
"BUF","2015ADJB","WCSG",
"BUF","2015ADJB","WS7G",300000
"BUF","2015ADJB","WSOG",
"BUF","2015M01","0001",
"BUF","2015M01","0002",
"BUF","2015M01","0003",
"BUF","2015M01","0004",
"BUF","2015M01","0005",
"BUF","2015ORGB","0003",
"BUF","2015ORGB","0004",32375000
"BUF","2015ORGB","0005",
"BUF","2015ORGB","0006",3638000
"BUF","2015ORGB","0007",
"BUF","2015SCHD","DRCG",
"BUF","2015SCHD","DRG",
"BUF","2015SCHD","ED7G",
"BUF","2015SCHD","EEDG",
"BUF","2015SCHD","FMG",1500000
"BUF","2015SCHD","ICDG",
"BUF","2015SCHD","IN7G",7003000
"BUF","2015SCHD","INEG",20587000
"BUF","2015TRFR","EEDG",
"BUF","2015TRFR","FMG",1500000
"BUF","2015TRFR","ICDG",
"BUF","2015TRFR","IN7G",
"BUF","2015TRFR","INEG",20587000
"BUF","2015TRFR","ISDG",5500000
"CPT","2015ADJB","0003",
"CPT","2015ADJB","0004",21400000
"CPT","2015ADJB","0005",
"CPT","2015ADJB","0006",40250000
"CPT","2015ADJB","0007",25958000
"CPT","2015ADJB","0008",10702000
