"Demarcation Code","YEARPERIOD","BALANCE_CDE","ACT_OR_BUD"
"BUF","2012AUDA","0100",
"BUF","2012AUDA","0110",
"BUF","2012AUDA","0300",2446637500
"BUF","2012AUDA","0500",7913290500
"BUF","2012AUDA","0600",
"BUF","2012AUDA","0680",
"BUF","2012AUDA","0690",10359928000
"BUF","2012AUDA","0700",
"BUF","2012AUDA","0900",605245500
"BUF","2012AUDA","0910",406451500
"BUF","2012AUDA","1000",1011697000
"BUF","2012PAUD","1405",12777602
"BUF","2012PAUD","1406",
"BUF","2012PAUD","1500",57353
"BUF","2013AUDA","0500",8393971000
"BUF","2013AUDA","0600",
"BUF","2013AUDA","0680",
"BUF","2015M01","1800",196200574
"BUF","2015M01","1900",60061502
"BUF","2015M01","2000",383441759
"BUF","2015ORGB","2800",54633000
"BUF","2015ORGB","2900",12429377000
"BUF","2015ORGB","3000",15081314000
"BUF","2015PAUD","0100",
"BUF","2015PAUD","0110",
"BUF","2015PAUD","0300",4245264499
"BUF","2015PAUD","2800",48835300
"BUF","2015PAUD","2900",12642872663
"BUF","2015PAUD","3000",15672693094
"BUF","2016IBY1","0100",
"BUF","2016IBY1","0110",
"BUF","2016IBY1","0300",2951322000
"BUF","2016IBY1","0500",10603734000
"BUF","2016IBY2","2700",
"BUF","2016IBY2","2800",47642000
"BUF","2016IBY2","2900",13176505000
"BUF","2016IBY2","3000",16692314000
"BUF","2016ORGB","0100",
"BUF","2016ORGB","0110",
"BUF","2016ORGB","0300",2810783000
"BUF","2016ORGB","0500",10020574000
"CPT","2012AUDA","0300",1770255615
"CPT","2012AUDA","0500",16721751899
"CPT","2012AUDA","0600",521463174
