"Demarcation Code","YEARPERIOD","FUNCTION_CDE","CAPITAL_CDE","New Assets","Renewal of Existing Assets","Total Assets","Repairs and Maintenance","Asset Register Summary"
"BUF","2012AUDA","0101","0100",0,,0,,
"BUF","2012AUDA","0101","0300",0,,0,,
"BUF","2012AUDA","0101","0400",0,,0,,
"BUF","2012AUDA","0101","0500",0,,0,,
"BUF","2012AUDA","0101","0600",0,,0,,
"BUF","2012AUDA","0101","0700",0,,0,,
"BUF","2012AUDA","0101","0800",0,,0,,
"BUF","2012AUDA","0101","0900",0,,0,,
"BUF","2012AUDA","0101","1000",0,,0,,
"BUF","2012AUDA","0101","1100",0,,0,,
"BUF","2012AUDA","0101","1200",0,,0,,
"BUF","2012AUDA","0101","1300",0,,0,,
"BUF","2012AUDA","0101","1400",0,,0,,
"BUF","2012AUDA","0101","1500",0,,0,,
"BUF","2012AUDA","0101","1600",0,,0,,
"BUF","2012AUDA","0101","1700",0,,0,,
"BUF","2012AUDA","0101","1800",0,,0,,
"BUF","2012AUDA","0101","1900",799312,,799312,,799312
"BUF","2012PAUD","0101","1500",0,,0,,
"BUF","2012PAUD","0101","1600",5761020,,5761020,,5761020
"BUF","2012PAUD","0101","1700",127389610,,127389610,,127389610
"BUF","2012PAUD","0101","1800",45008874,,45008874,,45008874
"BUF","2012PAUD","0101","1900",63345759,,63345759,,63345759
"BUF","2012PAUD","0101","2000",40573140,,40573140,,40573140
"BUF","2015M02","1011","4100",0,,0,,645222
"BUF","2015M02","1011","4200",0,,0,,
"BUF","2015M02","1011","4300",0,,0,,
"BUF","2015M02","1011","4400",0,,0,,641246
"BUF","2015M02","1011","4500",0,,0,,
"BUF","2015M02","1011","4600",0,,0,,
"BUF","2015M02","1011","4700",0,,0,,3976
"BUF","2015ORGB","0404","4030",0,0,0,0,
"BUF","2015ORGB","0404","4031",0,0,0,0,
"BUF","2015ORGB","0404","4032",0,0,0,0,
"BUF","2015ORGB","0404","4100",0,0,0,0,
"BUF","2015ORGB","0502","0100",0,,0,,
"BUF","2015ORGB","0502","0300",0,,0,,
"BUF","2015ORGB","0502","0400",0,,0,,
"BUF","2015ORGB","0502","0500",0,,0,,
"BUF","2016IBY1","0202","2400",0,,0,,
"BUF","2016IBY1","0202","2500",0,,0,,
"BUF","2016IBY1","0202","2600",0,,0,,
"BUF","2016IBY1","0202","2700",20200000,,20200000,1162335,20200000
"BUF","2016IBY1","0202","2800",0,,0,,
"BUF","2016IBY2","0202","2500",0,,0,,
"BUF","2016IBY2","0202","2600",0,,0,,
"BUF","2016IBY2","0202","2700",500000,,500000,1249511,500000
"BUF","2016ORGB","0101","4100",6200000,,6200000,,10231859000
"BUF","2016ORGB","0101","4200",0,,0,,
"BUF","2016ORGB","0101","4300",0,,0,,
"BUF","2016ORGB","0101","4400",6200000,,6200000,,6200000
"CPT","2012AUDA","0102","4022",0,,0,,
"CPT","2012AUDA","0102","4030",0,,0,,
"CPT","2012AUDA","0102","4031",0,,0,,
"CPT","2012AUDA","0102","4032",0,,0,,
"CPT","2012AUDA","0102","4100",1829938,11382,1841320,453730,1841320
"CPT","2012AUDA","0102","4200",0,,0,,
